Std of Gaussian Noise for Pose,Std of Gaussian Noise for Shape,Mean Vertex Displacement,Std Vertex Displacement
0.0,0.0,0.0,0.0
0.0,0.1,0.0017,0.0007
0.0,0.2,0.0037,0.0015
0.0,0.3,0.0089,0.0044
0.0,0.4,0.0051,0.003
0.0,0.5,0.0032,0.0015
0.0,0.6,0.0238,0.0133
0.0,0.7,0.0139,0.0058
0.0,0.8,0.0293,0.0196
0.0,0.9,0.0321,0.0107
0.0,1.0,0.0133,0.0055
0.1,0.0,0.0938,0.0532
0.1,0.1,0.1335,0.1225
0.1,0.2,0.0876,0.0584
0.1,0.3,0.1588,0.124
0.1,0.4,0.0796,0.0671
0.1,0.5,0.1518,0.1443
0.1,0.6,0.0994,0.081
0.1,0.7,0.085,0.056
0.1,0.8,0.2102,0.2095
0.1,0.9,0.1,0.0948
0.1,1.0,0.131,0.1181
0.2,0.0,0.1921,0.1512
0.2,0.1,0.1199,0.0936
0.2,0.2,0.2506,0.1808
0.2,0.3,0.2505,0.1806
0.2,0.4,0.2508,0.1494
0.2,0.5,0.3912,0.2895
0.2,0.6,0.2757,0.1967
0.2,0.7,0.27,0.2612
0.2,0.8,0.3133,0.1848
0.2,0.9,0.1827,0.1333
0.2,1.0,0.1508,0.1022
0.3,0.0,0.3894,0.2614
0.3,0.1,0.6161,0.4572
0.3,0.2,0.3847,0.3203
0.3,0.3,0.3662,0.2945
0.3,0.4,0.3288,0.2137
0.3,0.5,0.2353,0.1504
0.3,0.6,0.2917,0.2623
0.3,0.7,0.3161,0.186
0.3,0.8,0.244,0.2072
0.3,0.9,0.3144,0.2123
0.3,1.0,0.3673,0.3384
0.4,0.0,0.563,0.3684
0.4,0.1,0.5147,0.3834
0.4,0.2,0.2907,0.1897
0.4,0.3,0.445,0.2194
0.4,0.4,0.6769,0.561
0.4,0.5,0.3643,0.2333
0.4,0.6,0.362,0.2688
0.4,0.7,0.4041,0.3388
0.4,0.8,0.4883,0.3035
0.4,0.9,0.5056,0.4049
0.4,1.0,0.4961,0.2529
0.5,0.0,0.5379,0.4079
0.5,0.1,0.4062,0.4191
0.5,0.2,0.3334,0.2865
0.5,0.3,0.4514,0.2469
0.5,0.4,0.73,0.5122
0.5,0.5,0.5291,0.3436
0.5,0.6,0.6705,0.4939
0.5,0.7,0.7579,0.4973
0.5,0.8,0.6839,0.4326
0.5,0.9,0.6892,0.3897
0.5,1.0,0.4632,0.3261
0.6,0.0,0.3047,0.192
0.6,0.1,0.3368,0.1633
0.6,0.2,0.6566,0.4327
0.6,0.3,0.4209,0.3232
0.6,0.4,0.3414,0.2697
0.6,0.5,0.4656,0.4249
0.6,0.6,0.4863,0.3694
0.6,0.7,0.4452,0.2973
0.6,0.8,0.6691,0.4754
0.6,0.9,0.4705,0.3232
0.6,1.0,0.485,0.3581
0.7,0.0,0.6742,0.451
0.7,0.1,0.4337,0.3079
0.7,0.2,0.2962,0.1969
0.7,0.3,0.4794,0.3753
0.7,0.4,0.5733,0.3325
0.7,0.5,0.6195,0.4499
0.7,0.6,0.5163,0.3456
0.7,0.7,0.5097,0.3785
0.7,0.8,0.6498,0.389
0.7,0.9,0.6354,0.4721
0.7,1.0,0.7094,0.5235
0.8,0.0,0.7983,0.4088
0.8,0.1,0.6593,0.4915
0.8,0.2,0.6989,0.3906
0.8,0.3,0.5862,0.3653
0.8,0.4,0.5107,0.2706
0.8,0.5,0.4195,0.2571
0.8,0.6,0.5031,0.4478
0.8,0.7,0.6436,0.407
0.8,0.8,0.7291,0.5156
0.8,0.9,0.6134,0.407
0.8,1.0,0.673,0.3671
0.9,0.0,0.6035,0.292
0.9,0.1,0.6685,0.3911
0.9,0.2,0.575,0.3742
0.9,0.3,0.5728,0.3776
0.9,0.4,0.6216,0.3109
0.9,0.5,0.7433,0.4853
0.9,0.6,0.3636,0.2554
0.9,0.7,0.6764,0.3966
0.9,0.8,0.4621,0.2972
0.9,0.9,0.6389,0.4243
0.9,1.0,0.6537,0.3827
1.0,0.0,0.5779,0.3283
1.0,0.1,0.6496,0.3194
1.0,0.2,0.5126,0.4047
1.0,0.3,0.5173,0.3043
1.0,0.4,0.6755,0.3703
1.0,0.5,0.6951,0.4155
1.0,0.6,0.6516,0.3817
1.0,0.7,0.5982,0.3379
1.0,0.8,0.5612,0.3861
1.0,0.9,0.4124,0.3019
1.0,1.0,0.5573,0.3218
